MolWt,MolLogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,RingCount,Label
308.772,3.5801200000000017,0,4,43.07,1,4,1
408.88200000000023,2.2662999999999993,2,7,99.88,8,2,1
365.4110000000001,0.023700000000001165,4,6,132.96,4,3,1
180.15899999999996,1.3101,1,3,63.6,2,1,1
558.6500000000003,6.313600000000006,4,5,111.79000000000002,12,4,1
748.996,1.9007000000000112,5,14,180.08,7,3,1
388.8950000000001,3.148200000000002,1,4,53.010000000000005,8,3,1
331.3470000000001,1.5833,2,5,74.57,3,4,1
324.39900000000006,3.812980000000003,0,3,36.26,5,3,1
321.829,3.6739000000000024,0,4,29.54,3,3,1
299.37,1.5010999999999999,1,4,41.93,1,5,1
284.746,3.1538000000000013,0,2,32.67,1,3,1
296.153,4.364100000000002,2,2,49.33,4,2,1
255.36100000000002,3.3542000000000023,0,2,12.47,6,2,1
444.4400000000003,-0.5041999999999984,6,9,181.62,2,4,1
324.39900000000006,3.812980000000003,0,3,36.26,5,3,1
336.47900000000004,4.136700000000003,0,2,23.550000000000004,6,3,1
501.66700000000014,5.510500000000006,3,4,80.99999999999999,10,4,1
309.3310000000001,4.435000000000004,1,2,21.259999999999998,6,2,1
171.23999999999995,1.3702999999999999,2,2,63.31999999999999,3,1,1
494.0130000000004,3.641700000000003,3,5,113.60000000000001,8,3,1
297.74500000000006,-0.3513000000000006,3,5,118.36,1,2,1
206.285,3.0732000000000017,1,1,37.3,4,1,1
5793.644000000031,-19.762430000000535,78,83,2299.0699999999997,125,12,1
776.8719999999997,4.5573000000000015,3,4,92.78,5,2,1
405.49500000000023,1.2352000000000003,4,5,132.95999999999998,12,2,1
382.8910000000001,4.887800000000004,0,3,42.43,1,4,1
422.9200000000001,4.266800000000003,2,6,92.51,8,4,1
129.167,-1.2438299999999995,3,1,91.49,0,0,1
267.36899999999997,1.613199999999999,2,4,50.72,9,1,1
586.1970000000002,8.948000000000002,2,4,70.42,12,5,1
285.34299999999996,1.1980999999999997,2,4,52.93,0,5,1
230.263,3.036500000000002,1,2,46.53,3,2,1
345.4240000000001,2.8997400000000013,1,5,77.10000000000001,5,3,1
315.36899999999997,1.0482,1,5,59.00000000000001,1,5,1
151.16499999999996,1.3505999999999998,2,2,49.33,1,1,1
320.414,1.3341999999999996,2,4,69.64,4,3,1
424.5340000000002,2.4404000000000003,4,6,124.28999999999999,10,2,1
358.434,1.7658,2,5,91.66999999999999,2,4,1
314.41100000000006,1.4589999999999999,2,7,83.58000000000001,10,1,1
481.5460000000003,2.401700000000001,3,7,140.92000000000002,10,2,1
239.31499999999997,1.3059999999999996,4,4,72.72,4,1,1
306.23600000000005,5.179600000000004,1,1,12.03,2,3,1
474.5870000000004,1.6108999999999998,1,8,113.42000000000002,7,4,1
418.57400000000024,4.585600000000005,1,5,72.83,6,3,1
407.31800000000027,2.0164999999999997,1,5,77.04,4,3,1
263.38100000000003,2.6346000000000007,1,3,32.7,4,2,1
277.408,3.0356000000000014,1,3,32.7,5,2,1
307.39700000000005,3.248840000000002,0,3,37.61000000000001,3,3,1
60.05199999999999,0.09089999999999993,1,1,37.3,0,0,0
58.08,0.5952999999999999,0,1,17.07,0,0,0
178.23399999999998,3.993000000000002,0,0,0.0,0,3,0
294.307,-0.31109999999999927,3,5,118.72000000000001,7,1,0
78.11399999999999,1.6866,0,0,0.0,0,1,0
58.123999999999995,1.8064,0,0,0.0,1,0,0
194.194,-1.0293,0,6,61.82,0,2,0
305.41800000000006,3.7896000000000027,2,3,58.56,9,1,0
342.29700000000014,-5.397199999999992,8,11,189.52999999999997,4,2,0
386.6640000000002,7.388700000000009,1,1,20.23,5,4,0
651.1170000000001,13.977099999999972,0,2,26.3,21,4,0
192.12299999999993,-1.2485000000000004,4,4,132.13,5,0,0
84.162,2.3406000000000002,0,0,0.0,0,1,0
78.136,-0.005299999999999971,0,1,17.07,0,0,0
170.34,4.9272000000000045,0,0,0.0,9,0,0
46.069,-0.0014000000000000679,1,1,20.23,0,0,0
62.068000000000005,-1.0290000000000001,2,2,40.46,1,0,0
30.025999999999996,-0.1849,0,1,17.07,0,0,0
180.15599999999995,-3.2197999999999984,5,6,110.38000000000001,1,1,0
180.15599999999998,-3.2213999999999983,5,6,110.38000000000001,1,1,0
92.09400000000001,-1.6680999999999997,3,3,60.69,2,0,0
226.44799999999995,6.487600000000007,0,0,0.0,13,0,0
86.178,2.5866000000000007,0,0,0.0,3,0,0
60.096000000000004,0.3871,1,1,20.23,0,0,0
342.29700000000014,-5.397199999999992,8,11,189.52999999999997,4,2,0
200.32199999999995,3.991900000000004,1,1,37.3,10,0,0
509.42900000000026,-3.2645999999999944,2,10,188.45,5,3,0
280.45199999999994,5.884500000000006,1,1,37.3,14,0,0
342.29700000000014,-5.397199999999992,8,11,189.52999999999997,4,2,0
32.042,-0.39149999999999996,1,1,20.23,0,0,0
169.112,-5.067599999999998,2,4,103.45,4,0,0
128.17399999999998,2.8398000000000003,0,0,0.0,0,2,0
394.7720000000003,11.168799999999989,0,0,0.0,25,0,0
282.46799999999996,6.1085000000000065,1,1,37.3,15,0,0
256.4299999999999,5.552300000000006,1,1,37.3,14,0,0
94.11299999999999,1.3921999999999999,1,1,20.23,0,1,0
79.10199999999999,1.0816,0,1,12.89,0,1,0
183.18800000000002,0.11869999999999997,1,3,63.24,0,2,0
288.385,0.38809999999999967,0,4,66.43,12,0,0
284.4839999999999,6.332500000000007,1,1,37.3,16,0,0
342.29700000000014,-5.395599999999992,8,11,189.52999999999997,5,2,0
180.167,-1.0397000000000005,1,5,72.68,0,2,0
92.14099999999998,1.99502,0,0,0.0,0,1,0
176.124,-1.1260000000000003,0,6,78.9,8,0,0
250.38199999999995,3.771500000000003,1,2,29.46,5,1,0
60.056,-0.9762,2,1,69.11,0,0,0
152.14899999999997,1.2132999999999998,1,3,46.53,2,1,0
