gene_id,fpkm_Sample1,fpkm_Sample2
YDR126W,30.0,10.5
YDR127W,86.8,247.8
YDR128W,29.7,25.3
YDR129C,272.1,191.0
YDR130C,52.2,16.7
YDR131C,16.8,5.7
YDR132C,27.2,6.8
YDR133C,513.8,74.6
YDR134C,1268.4,195.7
YDR135C,57.3,70.5
YDR136C,12.7,4.3
YDR137W,27.9,10.6
YDR138W,39.4,16.4
YDR139C,107.0,58.6
YDR140W,61.5,29.4
YDR141C,31.6,39.2
YDR142C,21.0,9.9
YDR143C,39.8,12.7
YDR144C,27.6,14.1
YDR145W,85.3,25.8
YDR146C,19.5,8.0
YDR147W,13.1,5.4
YDR148C,89.0,65.8
YDR149C,13.5,58.2
YDR150W,39.7,28.2
YDR151C,238.5,53.9
YDR152W,195.9,48.3
YDR153C,63.5,18.1
YDR154C,2734.6,1317.5
YDR155C,3147.1,1100.8
YDR156W,31.7,8.6
YDR158W,488.4,586.0
YDR159W,15.3,10.7
YDR160W,26.4,9.3
YDR161W,41.0,21.8
YDR162C,81.7,15.0
YDR163W,124.5,20.9
YDR164C,23.9,13.4
YDR165W,26.8,14.2
YDR166C,32.5,20.0
YDR167W,82.2,18.1
YDR168W,151.9,105.0
YDR169C,33.6,11.9
YDR169C-A,23.6,26.0
YDR170C,35.4,93.3
YDR171W,4159.3,970.7
YDR172W,161.4,136.2
YDR173C,100.3,16.5
YDR174W,120.3,57.4
YDR175C,54.7,14.7
YDR176W,23.4,8.4
YDR177W,438.6,115.2
YDR178W,137.4,39.2
YDR179C,36.6,8.3
YDR181C,21.3,6.2
YDR182W,73.0,28.8
YDR182W-A,37.2,10.3
YDR183C-A,23.4,12.3
YDR183W,57.6,14.2
YDR184C,59.1,15.3
YDR185C,69.9,17.5
YDR186C,44.0,10.2
YDR187C,54.5,49.1
YDR188W,94.9,61.9
YDR189W,54.9,29.2
YDR190C,99.0,53.9
YDR192C,12.7,5.6
YDR193W,14.2,7.7
YDR194C,91.2,33.6
YDR194W-A,16.3,0.0
YDR195W,90.7,7.3
YDR196C,159.8,41.2
YDR197W,47.9,13.0
YDR198C,13.7,6.4
YDR199W,42.1,17.7
YDR200C,38.7,14.6
YDR201W,42.7,13.9
YDR202C,90.3,23.0
YDR203W,101.3,37.7
YDR204W,117.4,32.5
YDR205W,15.4,9.8
YDR206W,73.7,25.8
YDR207C,10.8,3.5
YDR208W,48.3,20.8
YDR209C,586.8,269.0
YDR210W,203.2,71.7
YDR211W,64.7,52.0
YDR212W,129.6,95.7
YDR213W,18.8,12.4
YDR214W,2162.2,426.1
YDR216W,98.3,132.7
YDR217C,9.9,14.0
YDR218C,21.0,4.7
YDR219C,56.6,17.3
YDR221W,34.1,34.2
YDR222W,74.1,25.8
YDR223W,27.5,8.0
YDR224C,622.1,238.0
YDR225W,243.3,77.1
YDR226W,469.5,374.0
YDR227W,13.2,7.5
YDR228C,51.8,18.2
YDR229W,41.0,10.8
YDR230W,46.1,13.2
YDR231C,38.8,12.9
YDR232W,18.8,23.7
YDR233C,329.5,130.6
YDR234W,37.4,39.7
YDR235W,22.4,8.8
YDR236C,72.6,23.8
YDR237W,63.8,25.5
YDR238C,104.4,154.3
YDR239C,14.8,7.4
YDR242W,19.9,9.2
YDR243C,13.0,8.0
YDR244W,58.0,21.5
YDR245W,91.8,27.7
YDR246W,107.0,26.4
YDR246W-A,20.0,10.8
YDR247W,25.3,7.8
YDR248C,128.8,43.7
YDR249C,13.6,4.2
YDR251W,44.5,20.4
YDR252W,25.8,7.2
YDR253C,54.2,9.3
YDR254W,47.1,22.2
YDR255C,38.3,30.2
YDR256C,82.4,36.4
YDR257C,159.9,96.5
YDR258C,1424.8,743.5
YDR259C,46.5,10.5
YDR260C,41.2,11.3
YDR261C,111.0,49.2
YDR261C-D,32.0,90.0
YDR262W,236.8,65.9
YDR263C,53.5,21.2
YDR264C,104.8,48.9
YDR265W,70.6,19.7
YDR266C,33.4,16.6
YDR267C,26.9,12.5
YDR268W,20.6,11.3
YDR270W,27.5,11.1
YDR271C,21.3,12.4
YDR272W,141.1,56.9
YDR273W,53.8,10.2
YDR274C,14.3,6.9
YDR275W,53.1,19.2
YDR276C,1138.2,466.8
YDR277C,35.1,11.1
YDR279W,18.8,10.8
YDR280W,35.9,9.5
YDR282C,16.1,7.5
YDR283C,27.0,35.7
YDR284C,89.7,32.6
YDR285W,14.2,3.8
YDR286C,78.8,27.4
YDR287W,65.7,19.0
YDR288W,48.4,13.1
YDR289C,50.6,14.1
YDR290W,12.7,4.0
YDR292C,58.3,25.2
YDR293C,125.6,101.3
YDR294C,218.1,87.9
YDR295C,28.9,9.6
YDR296W,103.6,31.1
YDR297W,23.3,10.4
YDR298C,167.6,63.7
YDR299W,20.4,9.9
YDR300C,22.3,16.7
YDR301W,17.3,22.7
YDR302W,30.4,10.9
YDR303C,21.9,15.4
YDR304C,713.6,248.7
YDR305C,81.4,21.8
YDR306C,47.5,17.2
YDR307W,34.0,14.7
YDR308C,59.1,19.7
YDR309C,59.3,16.9
YDR310C,23.5,15.1
YDR311W,14.1,8.4
YDR312W,14.1,7.9
YDR313C,67.7,18.9
YDR314C,22.6,13.5
YDR315C,28.5,12.6
YDR316W,57.8,13.9
YDR317W,27.6,8.2
YDR318W,38.6,14.1
YDR319C,46.1,19.1
YDR320C,19.4,9.8
YDR320C-A,212.5,69.5
YDR320W-B,28.6,0.0
YDR321W,60.1,58.8
YDR322C-A,443.2,163.0
YDR322W,46.4,16.3
YDR323C,10.8,3.8
YDR324C,12.6,9.0
YDR326C,45.1,22.9
YDR327W,573.5,162.9
YDR328C,706.0,173.0
YDR329C,98.3,21.9
YDR330W,89.3,24.7
YDR331W,30.2,14.4
YDR332W,21.0,6.3
YDR333C,69.5,22.5
YDR334W,23.0,13.2
YDR335W,61.3,64.6
YDR336W,38.7,16.5
YDR337W,54.8,23.0
YDR338C,17.3,7.7
YDR339C,130.6,32.7
YDR341C,139.4,234.4
YDR342C,22.0,5.4
YDR344C,17.4,14.8
YDR345C,725.2,504.7
YDR346C,98.3,57.0
YDR347W,99.1,31.5
YDR348C,28.0,12.5
YDR349C,120.0,38.3
YDR350C,36.0,10.9
YDR351W,53.7,18.3
YDR352W,52.6,18.2
YDR353W,298.4,178.8
YDR354C-A,36.9,42.1
YDR354W,73.3,32.6
YDR355C,6.9,12.1
YDR356W,12.4,8.3
YDR357C,205.9,60.9
YDR358W,108.0,44.5
YDR359C,22.1,11.9
YDR360W,18.5,6.0
YDR361C,30.5,16.2
YDR362C,15.1,6.1
YDR363W,11.6,5.0
YDR363W-A,565.0,252.1
YDR364C,42.5,10.1
YDR365C,26.1,22.6
YDR367W,35.8,17.6
YDR368W,151.4,110.6
YDR370C,19.5,6.0
YDR371W,90.6,20.5
YDR372C,266.3,94.3
YDR373W,247.7,92.9
YDR374C,28.7,7.0
YDR374W-A,227.7,70.0
YDR375C,32.9,10.8
YDR376W,44.2,16.3
YDR377W,208.9,83.9
YDR378C,680.9,338.9
YDR379C-A,241.2,58.3
YDR379W,34.0,13.1
YDR380W,19.0,5.0
YDR381C-A,207.0,39.3
YDR381W,139.7,77.6
YDR382W,2877.4,1496.8
YDR383C,73.2,21.9
YDR384C,106.9,48.8
YDR385W,5.3,16.1
YDR386W,19.1,6.8
YDR387C,34.3,10.0
YDR388W,310.8,140.5
YDR389W,16.5,11.9
YDR390C,23.0,12.1
YDR391C,123.0,45.2
YDR392W,49.1,14.5
YDR393W,30.8,9.4
YDR394W,291.9,85.0
YDR395W,50.6,61.0
YDR396W,44.8,16.2
YDR398W,20.6,10.7
YDR399W,144.5,46.3
YDR400W,39.2,16.7
YDR401W,21.6,1.5
YDR402C,38.4,7.3
YDR403W,38.2,9.9
YDR404C,110.3,27.1
YDR405W,74.3,18.0
YDR406W,111.8,172.2
YDR406W-A,28.5,31.6
YDR407C,25.3,14.1
YDR408C,135.8,49.1
YDR409W,36.3,11.1
YDR410C,49.2,14.1
YDR411C,137.5,33.5
YDR412W,28.3,11.4
YDR414C,38.9,10.9
YDR415C,37.1,17.0
YDR416W,15.5,9.4
YDR417C,1555.1,1554.3
YDR418W,854.1,778.5
YDR420W,14.2,9.2
YDR421W,18.1,9.0
YDR422C,38.0,21.2
YDR423C,56.6,27.9
YDR424C,204.8,139.0
YDR425W,52.2,11.8
YDR426C,46.3,12.0
YDR427W,350.4,136.6
YDR428C,179.3,52.4
YDR429C,237.3,114.1
YDR430C,69.1,48.5
YDR432W,110.2,128.8
YDR433W,17.2,27.4
YDR434W,91.3,34.5
YDR435C,45.2,19.9
YDR436W,21.0,6.9
YDR438W,10.8,3.0
YDR439W,17.8,2.6
YDR441C,38.1,13.6
YDR447C,1224.0,653.4
YDR448W,31.3,12.4
YDR449C,21.8,7.7
YDR450W,1703.0,1122.5
YDR451C,14.2,4.3
YDR452W,170.9,53.3
YDR453C,47.4,12.5
YDR454C,740.5,306.2
YDR455C,38.5,37.4
YDR456W,51.6,29.4
YDR457W,49.6,89.0
YDR458C,35.1,14.1
YDR459C,23.3,7.0
YDR460W,47.7,10.1
YDR461C-A,417.2,106.0
YDR461W,576.8,0.0
YDR462W,151.8,30.1
YDR463W,87.6,24.2
YDR464W,12.1,10.4
YDR465C,35.7,15.5
YDR466W,38.2,16.0
YDR467C,33.4,11.9
YDR468C,70.1,23.6
YDR469W,65.6,29.4
YDR470C,31.8,10.4
YDR471W,425.4,237.2
YDR472W,24.6,10.7
YDR473C,29.7,6.6
YDR475C,38.0,15.2
YDR476C,67.4,24.4
YDR477W,67.2,27.4
YDR478W,18.1,7.5
YDR479C,49.8,19.9
YDR480W,15.8,4.0
YDR481C,65.8,36.8
YDR482C,28.4,11.7
YDR483W,258.7,203.0
YDR484W,16.5,6.6
YDR485C,41.2,11.5
YDR486C,103.4,37.4
YDR487C,151.7,94.6
YDR488C,12.7,6.9
YDR489W,18.0,9.8
YDR490C,22.1,14.3
YDR491C,11.5,10.3
YDR492W,72.3,22.6
YDR493W,62.4,21.4
YDR494W,101.8,30.1
YDR495C,20.6,9.0
YDR496C,26.7,26.5
YDR497C,170.5,118.4
YDR498C,37.6,11.6
YDR499W,26.5,8.4
YDR500C,4389.7,2270.0
YDR501W,39.4,8.7
YDR502C,354.0,125.9
YDR503C,44.9,13.0
YDR504C,31.3,11.9
YDR505C,54.8,34.8
YDR507C,14.3,13.6
YDR508C,132.0,45.9
YDR509W,114.0,63.5
YDR510C-A,178.8,494.7
YDR510W,729.5,244.2
YDR511W,218.4,52.2
YDR512C,126.2,41.9
YDR513W,988.7,266.8
YDR514C,13.8,4.1
YDR515W,24.5,9.3
YDR516C,257.2,100.0
YDR517W,75.6,31.6
YDR518W,24.0,21.2
YDR519W,115.1,60.0
YDR520C,11.6,4.2
YDR521W,10.1,9.2
YDR522C,11.5,3.0
YDR523C,17.4,4.3
YDR524C,37.8,15.0
YDR524C-B,2158.5,1064.0
YDR525W-A,37.1,37.7
YDR527W,35.2,12.5
YDR528W,12.0,3.8
YDR529C,549.7,165.2
YDR530C,47.5,15.4
YDR531W,59.3,27.3
YDR532C,35.5,9.3
YDR533C,322.7,112.2
YDR537C,15.4,11.6
YDR538W,11.5,6.5
YDR539W,44.9,35.0
YDR540C,12.0,4.6
YDR541C,21.8,7.7
YEL001C,256.6,116.8
YEL002C,176.4,110.0
YEL003W,161.7,75.1
YEL004W,38.3,15.5
YEL005C,50.2,10.2
YEL006W,47.8,14.0
YEL007W,36.9,11.9
YEL008W,10.4,3.0
YEL009C,942.4,504.4
YEL011W,114.9,98.0
YEL012W,141.1,22.8
YEL013W,104.5,107.0
YEL015W,65.0,24.2
YEL016C,15.6,5.3
YEL017C-A,754.9,847.9
YEL017W,28.5,8.3
YEL018C-A,22.9,6.3
YEL018W,18.4,4.1
YEL020C,16.9,6.2
YEL020C-B,736.4,361.2
YEL020W-A,244.3,111.0
YEL021W,44.1,12.2
YEL022W,50.3,36.0
YEL023C,10.1,3.2
YEL024W,141.0,46.6
YEL025C,18.5,12.2
YEL026W,434.4,145.9
YEL027W,856.4,511.7
YEL028W,13.5,5.5
YEL029C,18.6,8.7
YEL030W,10.2,4.2
YEL031W,82.3,77.2
YEL032W,9.0,12.3
YEL033W,51.9,78.8
YEL034C-A,3138.1,2222.0
YEL036C,51.0,11.3
YEL037C,95.0,36.8
YEL038W,112.2,48.2
YEL039C,803.6,122.0
YEL040W,160.0,93.1
YEL041W,19.1,5.3
YEL042W,34.8,27.1
YEL043W,46.5,15.6
YEL044W,56.6,22.9
YEL046C,95.2,72.2
YEL047C,121.9,95.6
YEL048C,19.1,6.5
YEL049W,40.7,6.6
YEL050C,48.0,17.9
YEL050W-A,83.8,49.7
YEL051W,352.9,207.2
YEL052W,36.7,12.6
YEL053C,11.9,8.6
YEL053W-A,488.1,450.4
YEL054C,443.8,381.1
YEL055C,37.7,59.7
YEL056W,47.1,28.2
YEL057C,21.0,5.7
YEL058W,115.6,94.2
YEL059C-A,48.5,17.2
YEL060C,261.9,227.3
YEL061C,11.7,7.1
YEL062W,22.3,10.1
YEL063C,56.2,28.0
YEL065W,70.2,43.9
YEL066W,83.0,44.4
YEL068C,35.9,13.2
YEL071W,959.2,553.6
YEL072W,60.1,9.5
YEL073C,114.6,29.0
YEL074W,11.5,3.9
YER001W,15.1,12.3
YER002W,233.5,36.4
YER003C,116.5,167.4
YER004W,441.2,159.1
YER005W,31.5,12.3
YER006W,60.4,51.5
YER007C-A,140.9,86.1
YER007W,13.9,3.7
YER008C,36.8,32.1
YER009W,1057.8,465.1
YER010C,59.1,26.3
YER012W,453.2,122.9
YER013W,13.3,9.2
YER014C-A,11.0,3.0
YER014W,34.8,14.0
YER015W,10.8,7.6
YER016W,32.9,13.2
YER017C,61.0,21.0
YER018C,15.3,3.7
YER019C-A,480.7,226.0
YER019W,30.4,15.0
YER020W,39.3,16.2
YER021W,303.9,110.9
YER022W,18.1,12.0
YER023C-A,173.3,95.3
YER023W,370.9,293.3
YER024W,50.6,30.5
YER025W,86.4,73.6
YER026C,221.0,102.0
YER027C,35.1,13.8
YER028C,19.2,6.7
YER029C,46.8,9.5
YER030W,365.2,168.8
YER031C,239.8,62.4
YER033C,12.6,4.8
YER034W,22.7,7.5
YER035W,212.9,56.6
YER036C,147.7,105.8
YER037W,190.1,71.5
YER038C,10.4,7.2
YER039C,17.8,4.2
YER039C-A,22.3,9.4
YER040W,15.6,6.8
YER041W,12.3,4.1
YER042W,207.8,48.3
YER043C,357.4,1090.0
YER044C,731.4,219.1
YER044C-A,21.7,5.6
YER045C,74.8,19.7
YER046W,40.5,9.6
YER047C,15.1,4.2
YER048C,157.8,91.1
YER048W-A,260.1,78.8
YER049W,61.4,32.8
YER050C,201.0,42.4
YER051W,21.2,6.7
YER052C,289.0,94.3
YER053C,347.7,96.3
YER053C-A,3263.2,863.2
YER054C,159.2,40.0
YER055C,457.0,211.7
YER056C,115.3,47.1
YER056C-A,809.9,586.8
YER057C,495.5,192.0
YER058W,114.2,33.8
YER059W,38.5,12.5
YER060W,20.8,11.1
YER060W-A,13.4,8.5
YER061C,26.5,20.9
YER062C,170.0,151.9
YER063W,138.6,40.7
YER064C,62.3,24.4
YER065C,30.6,15.0
YER066C-A,76.7,19.0
YER066W,14.5,3.4
YER067C-A,62.4,12.3
YER067W,160.9,30.6
YER068C-A,50.7,97.3
YER068W,45.0,22.5
YER069W,68.1,82.5
YER070W,19.3,25.2
YER071C,135.3,43.9
YER072W,254.5,139.7
YER073W,22.3,16.4
YER074W,1277.1,1002.5
YER075C,10.0,4.2
YER076C,18.7,4.1
YER076W-A,22.4,5.4
YER077C,26.1,9.8
YER078C,44.0,16.1
YER078W-A,17.4,14.5
YER079C-A,130.1,162.1
YER079W,84.7,14.0
YER080W,98.1,71.8
YER081W,410.6,379.8
YER082C,71.8,33.2
YER083C,121.8,47.9
YER086W,127.6,106.1
YER087C-A,18.3,7.7
YER087C-B,312.8,73.3
YER087W,26.1,10.1
YER088C,95.2,15.4
YER088C-A,79.9,21.3
YER088W-B,34.9,6.5
YER089C,91.4,36.5
YER090W,214.5,138.9
YER091C,195.0,419.7
YER092W,134.3,51.6
YER093C,18.5,11.0
YER093C-A,31.0,6.6
YER094C,424.4,162.7
YER095W,47.0,19.3
YER096W,26.2,8.9
YER097W,14.0,9.3
YER098W,17.4,7.2
YER099C,58.5,21.3
YER100W,176.4,45.5
YER101C,41.2,11.5
YER102W,327.1,290.1
YER103W,6593.3,1751.8
YER104W,33.1,18.5
YER105C,38.2,45.8
YER107C,42.3,12.6
YER107W-A,75.1,25.8
YER109C,11.9,4.7
YER110C,56.3,173.7
YER111C,11.5,15.5
YER112W,155.9,28.4
YER113C,32.2,14.9
YER114C,18.6,17.9
YER115C,44.5,9.5
YER116C,32.3,11.1
YER117W,1081.9,867.6
YER118C,46.5,11.2
YER119C,93.2,35.0
YER119C-A,19.4,9.4
YER120W,293.4,96.6
YER121W,76.5,13.7
YER122C,160.1,61.1
YER123W,59.7,19.6
YER124C,52.7,41.3
YER125W,71.0,97.5
YER126C,65.8,88.5
YER127W,18.3,8.4
YER128W,21.4,6.4
YER129W,35.5,12.7
YER130C,28.7,11.8
YER131W,268.5,162.4
YER132C,21.3,17.2
YER133W,258.3,127.8
YER133W-A,115.8,34.1
YER134C,108.1,32.8
YER136W,167.4,137.6
YER139C,60.8,16.1
YER140W,28.0,8.8
YER141W,174.1,69.9
YER142C,47.5,15.7
YER143W,118.6,31.1
YER144C,30.2,11.3
YER145C,114.7,56.6
YER145C-A,63.5,32.0
YER146W,73.9,35.3
YER147C,10.4,5.3
YER147C-A,110.4,29.4
YER148W,156.0,41.2
YER148W-A,11.3,2.5
YER149C,24.4,9.0
YER150W,4140.7,593.3
YER151C,87.8,48.2
YER152C,41.6,21.9
YER152W-A,18.6,16.4
YER154W,48.0,27.1
YER155C,31.0,40.9
YER156C,47.3,28.2
YER157W,19.5,11.3
YER158C,19.7,3.7
YER158W-A,153.7,34.8
YER159C,105.1,21.4
YER161C,58.9,14.4
YER162C,26.1,7.6
YER163C,200.3,57.6
YER164W,28.9,38.6
YER165C-A,11.0,13.7
YER165W,250.5,373.6
YER166W,31.9,29.8
YER167W,44.1,16.5
YER168C,25.3,13.6
YER169W,19.7,7.1
YER170W,17.1,5.3
YER171W,22.1,9.8
YER172C,14.9,19.1
YER172C-A,14.2,6.9
YER173W,15.4,4.5
YER174C,60.4,17.3
YER175C,99.5,41.2
YER175W-A,19.5,16.6
YER176W,47.6,17.4
YER177W,1639.5,545.9
YER178W,541.0,516.0
YER179W,16.2,3.6
YER180C,29.0,5.7
YER180C-A,29.4,11.0
YER182W,140.9,37.2
YER183C,54.4,16.9
YER184C,17.4,8.5
YER185W,26.9,5.7
YER186C,25.1,8.7
YER188W,15.9,4.5
YFL001W,15.1,7.5
YFL002C,12.9,9.6
YFL004W,45.2,51.8
YFL005W,239.5,127.5
YFL007W,59.3,64.5
YFL008W,21.1,25.1
YFL009W,23.1,12.2
YFL010C,456.7,189.5
YFL010W-A,484.3,217.7
YFL013C,64.1,19.0
YFL013W-A,22.1,4.8
YFL014W,6023.0,1284.0
YFL016C,338.8,72.7
YFL017C,90.1,32.0
YFL017W-A,91.0,24.1
YFL018C,512.9,306.1
YFL019C,14.4,4.5
YFL020C,11.4,2.9
YFL021W,32.5,6.3
YFL022C,174.1,83.5
YFL023W,13.7,7.0
YFL024C,22.0,7.3
YFL025C,20.0,11.2
YFL026W,122.4,49.7
YFL027C,29.7,9.9
YFL028C,117.9,46.1
YFL029C,53.1,10.3
YFL030W,16.0,4.2
YFL031W,113.9,216.8
YFL033C,26.2,16.5
YFL034C-A,165.2,36.7
YFL034C-B,24.7,6.7
YFL034W,12.5,6.3
YFL036W,43.6,56.7
YFL037W,221.9,222.6
YFL038C,1163.6,395.8
YFL039C,1410.7,1801.8
YFL040W,16.2,6.7
YFL041W,29.5,21.3
YFL041W-A,14.8,10.6
YFL042C,42.5,14.5
YFL044C,82.4,44.8
YFL045C,306.7,175.7
YFL046W,41.8,12.9
YFL047W,49.2,16.8
YFL048C,182.1,59.0
YFL049W,49.7,13.1
YFL050C,16.7,5.7
YFL051C,12.0,9.3
YFL052W,11.0,8.4
YFL053W,17.9,6.9
YFL054C,50.4,13.1
YFL055W,11.9,5.1
YFL056C,25.4,7.2
YFL057C,28.7,7.2
YFR001W,78.3,23.4
YFR002W,41.7,34.5
YFR003C,290.0,63.5
YFR004W,315.9,93.3
YFR005C,14.2,7.4
YFR006W,101.7,55.6
YFR007W,36.4,11.2
YFR008W,29.7,7.4
YFR009W,87.8,94.0
YFR009W-A,45.2,26.4
YFR010W,317.2,84.0
YFR010W-A,11.7,4.5
YFR011C,80.2,20.9
YFR013W,15.1,11.2
YFR014C,44.9,14.4
YFR015C,54.4,29.5
YFR016C,49.2,44.3
YFR017C,18.1,5.8
YFR018C,46.1,15.1
YFR019W,18.3,17.8
YFR020W,11.4,2.9
YFR021W,16.5,8.5
YFR022W,15.5,6.5
YFR024C-A,102.6,54.3
YFR025C,66.8,30.5
YFR028C,17.3,9.0
YFR030W,43.7,37.4
YFR031C,14.5,8.5
YFR031C-A,752.7,603.3
YFR032C-A,633.7,577.3
YFR033C,208.2,93.0
YFR034C,24.3,8.7
YFR035C,72.0,43.5
YFR036W,18.5,5.5
YFR036W-A,17.7,0.8
YFR037C,103.4,23.3
YFR039C,37.4,14.9
YFR040W,39.0,22.6
YFR041C,60.8,20.0
YFR042W,39.9,11.4
YFR043C,35.5,11.1
YFR044C,205.5,192.5
YFR045W,44.5,12.6
YFR046C,32.9,11.9
YFR047C,221.6,108.8
YFR048W,12.9,5.8
YFR049W,82.2,16.9
YFR050C,287.0,80.0
YFR051C,139.5,54.8
YFR052C-A,398.9,208.6
YFR052W,385.7,101.0
YFR053C,569.5,220.0
YFR055W,10.0,5.6
YGL001C,132.0,85.7
YGL002W,79.3,22.9
YGL003C,32.0,9.3
YGL004C,82.8,23.8
YGL005C,79.1,24.1
YGL006W,48.5,41.0
YGL008C,1012.2,1983.0
YGL009C,64.2,153.7
YGL010W,114.0,20.5
YGL011C,643.0,169.3
YGL012W,191.6,159.7
YGL013C,31.0,20.3
YGL014C-A,12.6,19.4
YGL014W,34.4,13.1
YGL016W,21.0,32.9
YGL018C,46.6,19.7
YGL019W,102.7,47.2
YGL020C,115.3,28.0
YGL021W,46.5,17.1
YGL022W,126.9,92.0
YGL023C,32.0,8.3
YGL024W,12.2,5.9
YGL025C,22.6,6.1
YGL026C,256.0,479.3
YGL027C,48.6,48.3
YGL028C,28.8,17.0
YGL029W,75.8,22.6
YGL030W,3115.6,1454.1
YGL031C,524.9,433.9
YGL032C,58.8,13.6
YGL035C,48.8,16.1
YGL036W,63.5,22.5
YGL037C,2946.3,679.6
YGL038C,26.9,7.2
YGL039W,20.3,7.4
YGL040C,87.2,41.4
YGL041C-B,18.0,12.1
YGL041W-A,73.4,18.4
YGL042C,135.6,39.0
YGL043W,127.4,45.4
YGL044C,42.2,10.4
YGL045W,25.5,7.3
YGL047W,43.9,15.7
YGL048C,302.5,89.3
YGL049C,13.5,17.2
YGL050W,26.1,11.2
YGL054C,364.4,102.7
YGL055W,51.0,122.7
YGL056C,56.0,21.5
YGL057C,12.6,5.8
YGL058W,180.1,50.9
YGL059W,53.5,15.5
YGL060W,18.0,10.5
YGL061C,17.7,4.8
YGL062W,113.8,160.4
YGL063C-A,12.0,22.0
YGL065C,32.1,16.2
YGL066W,23.9,8.7
YGL067W,67.7,26.0
YGL068W,62.0,21.5
YGL069C,143.9,66.4
YGL070C,163.4,32.0
YGL071W,29.6,11.0
YGL072C,31.7,4.9
YGL073W,62.2,16.4
YGL074C,24.3,13.9
YGL075C,13.9,5.3
YGL076C,73.1,56.9
YGL077C,83.7,43.1
YGL078C,50.3,29.6
YGL079W,37.9,17.6
YGL080W,102.7,22.9
YGL082W,69.4,22.6
YGL083W,30.4,8.9
YGL084C,35.3,18.3
YGL085W,44.9,10.9
YGL086W,51.7,22.4
YGL087C,356.3,92.6
YGL088W,35.3,22198.2
YGL089C,19.0,6.3
YGL090W,25.0,11.3
YGL091C,47.1,12.7
YGL092W,23.9,25.7
YGL093W,20.8,10.8
YGL094C,17.3,11.6
YGL095C,69.7,23.0
YGL096W,52.6,14.7
YGL097W,43.5,36.5
YGL098W,46.7,15.5
YGL099W,12.9,18.1
YGL100W,66.3,22.5
YGL101W,31.8,10.8
YGL102C,2328.5,1865.2
YGL103W,579.6,526.2
YGL104C,64.6,19.1
YGL105W,718.0,393.5
YGL106W,425.5,193.4
YGL107C,24.8,10.5
YGL108C,50.7,11.8
YGL109W,30.4,8.2
YGL110C,43.9,6.3
YGL111W,50.3,24.8
YGL112C,41.0,17.6
YGL114W,31.8,11.9
YGL115W,127.5,39.6
YGL116W,22.0,5.9
YGL117W,53.6,24.2
YGL119W,36.9,14.9
YGL120C,42.9,43.9
YGL121C,148.9,39.8
YGL122C,49.4,23.6
YGL123C-A,87.9,63.9
YGL123W,1599.2,1107.9
YGL124C,17.7,6.6
YGL125W,20.2,16.3
YGL126W,28.2,12.7
YGL127C,50.9,12.9
YGL128C,19.9,4.0
YGL129C,37.1,14.6
YGL130W,88.2,24.4
YGL131C,25.0,23.6
YGL132W,14.9,12.9
YGL133W,47.0,33.1
YGL134W,33.0,9.2
YGL135W,30.7,24.2
YGL136C,46.0,32.5
YGL137W,98.8,265.7
YGL139W,19.1,15.1
YGL140C,38.9,24.6
YGL141W,64.1,23.1
YGL142C,25.0,11.1
YGL143C,14.7,9.7
YGL145W,14.9,8.0
YGL147C,480.2,712.9
YGL148W,178.0,154.0
YGL149W,10.0,12.8
YGL150C,28.9,29.0
YGL151W,53.5,37.8
YGL153W,34.8,10.9
YGL154C,51.7,13.6
YGL155W,23.6,9.7
YGL156W,79.2,94.7
YGL157W,272.6,86.1
YGL158W,37.0,13.9
YGL159W,27.7,12.6
YGL160W,57.6,20.1
YGL161C,178.6,48.3
YGL162W,18.4,4.7
YGL163C,26.3,9.7
YGL164C,40.6,5.6
YGL165C,19.8,7.8
YGL166W,30.1,15.9
YGL167C,58.2,53.2
YGL168W,74.5,48.5
YGL169W,18.0,8.6
YGL171W,13.1,12.6
YGL172W,53.1,18.8
YGL173C,78.5,157.4
YGL174W,28.1,13.7
YGL175C,16.0,12.0
YGL176C,20.5,11.4
YGL178W,74.7,38.3
YGL179C,30.1,10.0
YGL181W,111.9,27.6
YGL182C,11.7,2.7
YGL184C,43.7,13.8
YGL185C,40.8,11.3
YGL186C,80.1,27.0
YGL187C,59.6,22.7
YGL188C,14.4,10.9
YGL189C,1888.3,1791.2
YGL190C,78.9,25.4
YGL191W,659.1,409.6
YGL192W,52.2,9.5
YGL193C,88.3,8.8
YGL194C,20.3,21.8
YGL194C-A,30.6,7.4
YGL195W,60.1,142.7
YGL196W,74.6,28.4
YGL197W,37.3,31.7
YGL198W,64.9,20.2
YGL199C,62.9,25.5
YGL200C,498.9,194.1
YGL201C,22.0,18.4
YGL202W,457.7,443.0
YGL203C,63.1,28.0
YGL204C,48.3,16.9
YGL205W,11.7,6.0
YGL206C,72.9,352.7
YGL207W,158.4,195.2
YGL208W,34.0,13.9
YGL209W,46.2,15.3
YGL210W,64.1,20.1
YGL211W,36.0,10.3
YGL212W,16.7,5.7
YGL213C,28.2,12.3
YGL214W,12.2,6.3
YGL215W,218.9,136.3
YGL218W,49.2,19.9
YGL219C,77.2,20.8
YGL220W,452.0,125.0
YGL221C,239.4,79.3
YGL222C,76.6,25.4
YGL223C,30.3,9.9
YGL224C,108.0,25.1
YGL225W,74.5,75.7
YGL226C-A,253.8,96.7
YGL226W,80.5,46.3
YGL227W,37.3,24.0
YGL228W,127.2,51.4
YGL229C,16.7,8.0
